"filename", "language", "Dart", "comment", "blank", "total"
"d:\course\projects\graduation project\civixapp\lib\WorkerFeature\profile.dart", "Dart", 371, 0, 23, 394
"d:\course\projects\graduation project\civixapp\lib\WorkerFeature\workerMainScreen.dart", "Dart", 747, 0, 17, 764
"d:\course\projects\graduation project\civixapp\lib\core\DI\getit.dart", "Dart", 29, 0, 3, 32
"d:\course\projects\graduation project\civixapp\lib\core\database\local\prefmanger.dart", "Dart", 30, 0, 13, 43
"d:\course\projects\graduation project\civixapp\lib\core\database\remote\api\ApiConstant.dart", "Dart", 15, 0, 1, 16
"d:\course\projects\graduation project\civixapp\lib\core\database\remote\api\ApiConsumer.dart", "Dart", 18, 0, 1, 19
"d:\course\projects\graduation project\civixapp\lib\core\database\remote\api\ApiService.dart", "Dart", 92, 0, 8, 100
"d:\course\projects\graduation project\civixapp\lib\core\database\remote\api\ApihanderDioExcp.dart", "Dart", 51, 0, 2, 53
"d:\course\projects\graduation project\civixapp\lib\core\database\remote\api\AuthInterceptor.dart", "Dart", 144, 0, 13, 157
"d:\course\projects\graduation project\civixapp\lib\core\database\remote\error\ServerExciptionmodel.dart", "Dart", 5, 0, 2, 7
"d:\course\projects\graduation project\civixapp\lib\core\database\remote\error\failureResponse.dart", "Dart", 11, 0, 3, 14
"d:\course\projects\graduation project\civixapp\lib\core\extenstion\datetimeextension.dart", "Dart", 23, 0, 4, 27
"d:\course\projects\graduation project\civixapp\lib\core\function\_arePasswordRulesMet.dart", "Dart", 4, 0, 2, 6
"d:\course\projects\graduation project\civixapp\lib\core\function\_isValidEmail.dart", "Dart", 3, 0, 2, 5
"d:\course\projects\graduation project\civixapp\lib\core\function\_isValidPhone.dart", "Dart", 5, 0, 2, 7
"d:\course\projects\graduation project\civixapp\lib\core\function\confvalidator.dart", "Dart", 9, 0, 1, 10
"d:\course\projects\graduation project\civixapp\lib\core\function\errorvalidator.dart", "Dart", 1, 33, 4, 38
"d:\course\projects\graduation project\civixapp\lib\core\function\imagebutton.dart", "Dart", 34, 0, 3, 37
"d:\course\projects\graduation project\civixapp\lib\core\function\passvlidatorrules.dart", "Dart", 57, 0, 11, 68
"d:\course\projects\graduation project\civixapp\lib\core\function\sinupvalidator.dart", "Dart", 41, 0, 6, 47
"d:\course\projects\graduation project\civixapp\lib\core\resource\assetvaluemanger.dart", "Dart", 26, 0, 6, 32
"d:\course\projects\graduation project\civixapp\lib\core\resource\colormanager.dart", "Dart", 26, 0, 3, 29
"d:\course\projects\graduation project\civixapp\lib\core\resource\constantmanger.dart", "Dart", 138, 7, 48, 193
"d:\course\projects\graduation project\civixapp\lib\core\resource\screenutilsmaanger.dart", "Dart", 67, 6, 11, 84
"d:\course\projects\graduation project\civixapp\lib\core\routing\appRoutingRole.dart", "Dart", 13, 0, 0, 13
"d:\course\projects\graduation project\civixapp\lib\core\routing\routes.dart", "Dart", 12, 0, 1, 13
